seq,operation,phase,frame,channel,address_offset,write_value,read_mask,expected_value,comparison,EQ,timeout_us,register,description
161,READ_CHECK,rx_read,3,CH1,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 3 channel 1 word 3
162,WRITE,rx_pop,3,CH2,0x29C,0x00000001,,,,0,,ENG1_RXPOP_CH2,Pop frame 3 channel 2 into shared RX staging
163,READ_CHECK,rx_read,3,CH2,0x2A0,,0xFFFFFFFF,0x00000007,masked_eq,1,,ENG1_RXDATA0,Check frame 3 channel 2 word 0
164,READ_CHECK,rx_read,3,CH2,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 3 channel 2 word 1
165,READ_CHECK,rx_read,3,CH2,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 3 channel 2 word 2
166,READ_CHECK,rx_read,3,CH2,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 3 channel 2 word 3
167,POLL,rx_wait,4,,0x28C,,0x0000F000,0x00000000,masked_ne,0,100,ENG1_RX_FIFO_STAT,Wait until FRAMES[15:12] is nonzero
168,WRITE,rx_pop,4,CH0,0x294,0x00000001,,,,0,,ENG1_RXPOP_CH0,Pop frame 4 channel 0 into shared RX staging
169,READ_CHECK,rx_read,4,CH0,0x2A0,,0xFFFFFFFF,0x00000001,masked_eq,1,,ENG1_RXDATA0,Check frame 4 channel 0 word 0
170,READ_CHECK,rx_read,4,CH0,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 4 channel 0 word 1
171,READ_CHECK,rx_read,4,CH0,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 4 channel 0 word 2
172,READ_CHECK,rx_read,4,CH0,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 4 channel 0 word 3
173,WRITE,rx_pop,4,CH1,0x298,0x00000001,,,,0,,ENG1_RXPOP_CH1,Pop frame 4 channel 1 into shared RX staging
174,READ_CHECK,rx_read,4,CH1,0x2A0,,0xFFFFFFFF,0x00000008,masked_eq,1,,ENG1_RXDATA0,Check frame 4 channel 1 word 0
