seq,operation,phase,address_offset,register,write_value,redundant_from_reset,read_mask,compare,read_expect,description
769,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
770,POLL,F_pop_each_captured_word_refill_as_we_go,0x29c,ENG1_RX_FIFO_STAT,,,0x000f8000,!=,0x00000000,ENG1_RX_FIFO_STAT  wait for FRAMES != 0
771,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2a4,ENG1_RXPOP_CH0,0x00000001,,,,,ENG1_RXPOP_CH0     pop the framing wire
772,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000001,ENG1_RXDATA0     bits 31:0
773,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000000,ENG1_RXDATA1     bits 63:32
774,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
775,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
776,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
777,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
778,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
779,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
780,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2a8,ENG1_RXPOP_CH1,0x00000001,,,,,ENG1_RXPOP_CH1     pop channel 1
781,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000013,ENG1_RXDATA0     bits 31:0
782,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000013,ENG1_RXDATA1     bits 63:32
783,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
784,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
785,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
786,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
787,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
788,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
789,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2ac,ENG1_RXPOP_CH2,0x00000001,,,,,ENG1_RXPOP_CH2     pop channel 2
790,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x0000001b,ENG1_RXDATA0     bits 31:0
