seq,operation,phase,address_offset,register,write_value,redundant_from_reset,read_mask,compare,read_expect,description
97,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
98,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
99,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
100,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
101,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
102,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000009,,,,,ENG0_TXDATA0     ch1 bits 31:0
103,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000009,,,,,ENG0_TXDATA1     ch1 bits 63:32
104,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
105,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000011,,,,,ENG0_TXDATA0     ch2 bits 31:0
106,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000011,,,,,ENG0_TXDATA1     ch2 bits 63:32
107,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
108,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
109,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
110,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
111,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
112,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x0000000a,,,,,ENG0_TXDATA0     ch1 bits 31:0
113,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x0000000a,,,,,ENG0_TXDATA1     ch1 bits 63:32
114,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
115,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000012,,,,,ENG0_TXDATA0     ch2 bits 31:0
116,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000012,,,,,ENG0_TXDATA1     ch2 bits 63:32
117,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
118,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
119,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
120,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
121,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
